hhdi,add_line1,barangay,city,2112,province,PH,classification,remarks
60048,,CENTRO I,ORANI,2237,province,PH,,
70001,,CENTRO II,ORANI,2238,province,PH,,
70002,,CENTRO II,ORANI,2239,province,PH,,
70003,,CENTRO II,ORANI,2240,province,PH,,
70004,,CENTRO II,ORANI,2241,province,PH,,
70005,,CENTRO II,ORANI,2242,province,PH,,
70006,,CENTRO II,ORANI,2243,province,PH,,
70007,,CENTRO II,ORANI,2244,province,PH,,
70008,,CENTRO II,ORANI,2245,province,PH,,
70009,,CENTRO II,ORANI,2246,province,PH,,
70010,,CENTRO II,ORANI,2247,province,PH,,
70011,,CENTRO II,ORANI,2248,province,PH,,
70012,,CENTRO II,ORANI,2249,province,PH,,
70013,,CENTRO II,ORANI,2250,province,PH,,
70014,,CENTRO II,ORANI,2251,province,PH,,
70015,,CENTRO II,ORANI,2252,province,PH,,
70016,,CENTRO II,ORANI,2253,province,PH,,
70017,,CENTRO II,ORANI,2254,province,PH,,
70018,,CENTRO II,ORANI,2255,province,PH,,
70019,,CENTRO II,ORANI,2256,province,PH,,
70020,,CENTRO II,ORANI,2257,province,PH,,
70021,,CENTRO II,ORANI,2258,province,PH,,
70022,,CENTRO II,ORANI,2259,province,PH,,
70023,,CENTRO II,ORANI,2260,province,PH,,
70024,,CENTRO II,ORANI,2261,province,PH,,
70025,,CENTRO II,ORANI,2262,province,PH,,
70026,,CENTRO II,ORANI,2263,province,PH,,
70027,,CENTRO II,ORANI,2264,province,PH,,
70028,,CENTRO II,ORANI,2265,province,PH,,
70029,,CENTRO II,ORANI,2266,province,PH,,
70030,,CENTRO II,ORANI,2267,province,PH,,
70031,,CENTRO II,ORANI,2268,province,PH,,
70032,,CENTRO II,ORANI,2269,province,PH,,
70033,,CENTRO II,ORANI,2270,province,PH,,
70034,,CENTRO II,ORANI,2271,province,PH,,
70035,,CENTRO II,ORANI,2272,province,PH,,
110001,,MARIA FE ,ORANI,2273,province,PH,,
110002,,MARIA FE ,ORANI,2274,province,PH,,
110003,,MARIA FE ,ORANI,2275,province,PH,,
110004,,MARIA FE ,ORANI,2276,province,PH,,
110005,,MARIA FE ,ORANI,2277,province,PH,,
110006,,MARIA FE ,ORANI,2278,province,PH,,
110007,,MARIA FE ,ORANI,2279,province,PH,,
110008,,MARIA FE ,ORANI,2280,province,PH,,
110009,,MARIA FE ,ORANI,2281,province,PH,,
110010,,MARIA FE ,ORANI,2282,province,PH,,
110011,,MARIA FE ,ORANI,2283,province,PH,,
110012,,MARIA FE ,ORANI,2284,province,PH,,
110013,,MARIA FE ,ORANI,2285,province,PH,,
110014,,MARIA FE ,ORANI,2286,province,PH,,
110015,,MARIA FE ,ORANI,2287,province,PH,,
110016,,MARIA FE ,ORANI,2288,province,PH,,
110017,,MARIA FE ,ORANI,2289,province,PH,,
110018,,MARIA FE ,ORANI,2290,province,PH,,
110019,,MARIA FE ,ORANI,2291,province,PH,,
110020,,MARIA FE ,ORANI,2292,province,PH,,
110021,,MARIA FE ,ORANI,2293,province,PH,,
110022,,MARIA FE ,ORANI,2294,province,PH,,
110023,,MARIA FE ,ORANI,2295,province,PH,,
110024,,MARIA FE ,ORANI,2296,province,PH,,
110025,,MARIA FE ,ORANI,2297,province,PH,,
110026,,MARIA FE ,ORANI,2298,province,PH,,
110027,,MARIA FE ,ORANI,2299,province,PH,,
110028,,MARIA FE ,ORANI,2300,province,PH,,
110029,,MARIA FE ,ORANI,2301,province,PH,,
110030,,MARIA FE ,ORANI,2302,province,PH,,
110031,,MARIA FE ,ORANI,2303,province,PH,,
110032,,MARIA FE ,ORANI,2304,province,PH,,
110033,,MARIA FE ,ORANI,2305,province,PH,,
110034,,MARIA FE ,ORANI,2306,province,PH,,
110035,,MARIA FE ,ORANI,2307,province,PH,,
110036,,MARIA FE ,ORANI,2308,province,PH,,
110037,,MARIA FE ,ORANI,2309,province,PH,,
110038,,MARIA FE ,ORANI,2310,province,PH,,
110039,,MARIA FE ,ORANI,2311,province,PH,,
110040,,MARIA FE ,ORANI,2312,province,PH,,
110041,,MARIA FE ,ORANI,2313,province,PH,,
110042,,MARIA FE ,ORANI,2314,province,PH,,
110043,,MARIA FE ,ORANI,2315,province,PH,,
110044,,MARIA FE ,ORANI,2316,province,PH,,
110045,,MARIA FE ,ORANI,2317,province,PH,,
110046,,MARIA FE ,ORANI,2318,province,PH,,
110047,,MARIA FE ,ORANI,2319,province,PH,,
110048,,MARIA FE ,ORANI,2320,province,PH,,
110049,,MARIA FE ,ORANI,2321,province,PH,,
110050,,MARIA FE ,ORANI,2322,province,PH,,
110051,,MARIA FE ,ORANI,2323,province,PH,,
110052,,MARIA FE ,ORANI,2324,province,PH,,
110053,,MARIA FE ,ORANI,2325,province,PH,,
110054,,MARIA FE ,ORANI,2326,province,PH,,
110055,,MARIA FE ,ORANI,2327,province,PH,,
110056,,MARIA FE ,ORANI,2328,province,PH,,
110057,,MARIA FE ,ORANI,2329,province,PH,,
110058,,MARIA FE ,ORANI,2330,province,PH,,
110059,,MARIA FE ,ORANI,2331,province,PH,,
110060,,MARIA FE ,ORANI,2332,province,PH,,
110061,,MARIA FE ,ORANI,2333,province,PH,,
110062,,MARIA FE ,ORANI,2334,province,PH,,
110063,,MARIA FE ,ORANI,2335,province,PH,,
110064,,MARIA FE ,ORANI,2336,province,PH,,
110065,,MARIA FE ,ORANI,2337,province,PH,,
110066,,MARIA FE ,ORANI,2338,province,PH,,
110067,,MARIA FE ,ORANI,2339,province,PH,,
